data,valor
1990-01-01,0.6823
1990-02-01,0.7994
1990-03-01,0.3639
1990-04-01,0.0512
1990-05-01,0.0594
1990-06-01,0.0938
1990-07-01,0.1434
1990-08-01,0.1265
1990-09-01,0.175
1990-10-01,0.2197
1990-11-01,0.2305
1990-12-01,0.2778
1991-01-01,0.2346
1991-02-01,0.0872
1991-03-01,0.1001
1991-04-01,0.1249
1991-05-01,0.1264
1991-06-01,0.1066
1991-07-01,0.1326
1991-08-01,0.1597
1991-09-01,0.2001
1991-10-01,0.261
1991-11-01,0.3198
1991-12-01,0.3046
1992-01-01,0.2907
1992-02-01,0.3032
1992-03-01,0.252
1992-04-01,0.2375
1992-05-01,0.2294
1992-06-01,0.2424
1992-07-01,0.2631
1992-08-01,0.2573
1992-09-01,0.2765
1992-10-01,0.2819
1992-11-01,0.2609
1992-12-01,0.2606
1993-01-01,0.2878
1993-02-01,0.2856
1993-03-01,0.2854
1993-04-01,0.3039
1993-05-01,0.3093
1993-06-01,0.318
1993-07-01,0.3279
1993-08-01,0.348
1993-09-01,0.3743
1993-10-01,0.3839
1993-11-01,0.3807
1993-12-01,0.4064
1994-01-01,0.4325
1994-02-01,0.4146
1994-03-01,0.4698
1994-04-01,0.4597
1994-05-01,0.4812
1994-06-01,0.4843
1994-07-01,0.0668
1994-08-01,0.0416
1994-09-01,0.0385
1994-10-01,0.0365
1994-11-01,0.0411
1994-12-01,0.0384
1995-01-01,0.0348
1995-02-01,0.0324
1995-03-01,0.0441
1995-04-01,0.0422
1995-05-01,0.0427
1995-06-01,0.0405
1995-07-01,0.0401
1995-08-01,0.0381
1995-09-01,0.0325
1995-10-01,0.0306
1995-11-01,0.0284
1995-12-01,0.0273
1996-01-01,0.0256
1996-02-01,0.0231
1996-03-01,0.022
1996-04-01,0.0203
1996-05-01,0.02
1996-06-01,0.0194
1996-07-01,0.0191
1996-08-01,0.0195
1996-09-01,0.0188
1996-10-01,0.0186
1996-11-01,0.0179
1996-12-01,0.0179
1997-01-01,0.0174
1997-02-01,0.0166
1997-03-01,0.0163
1997-04-01,0.0166
1997-05-01,0.0158
1997-06-01,0.0159
1997-07-01,0.0161
1997-08-01,0.0158
1997-09-01,0.0158
1997-10-01,0.0168
1997-11-01,0.0298
1997-12-01,0.0292
1998-01-01,0.0267
1998-02-01,0.0211
1998-03-01,0.0218
1998-04-01,0.0169
1998-05-01,0.0163
1998-06-01,0.016
1998-07-01,0.0169
1998-08-01,0.0147
1998-09-01,0.0249
1998-10-01,0.0293
1998-11-01,0.0258
1998-12-01,0.0238
1999-01-01,0.0217
1999-02-01,0.0235
1999-03-01,0.0329
1999-04-01,0.0228
1999-05-01,0.0196
1999-06-01,0.0163
1999-07-01,0.0162
1999-08-01,0.0155
1999-09-01,0.0147
1999-10-01,0.0137
1999-11-01,0.0137
1999-12-01,0.0158
2000-01-01,0.0144
2000-02-01,0.0144
2000-03-01,0.0144
2000-04-01,0.0128
2000-05-01,0.0149
2000-06-01,0.0139
2000-07-01,0.013
2000-08-01,0.014
2000-09-01,0.0122
2000-10-01,0.0128
2000-11-01,0.0122
2000-12-01,0.0119
2001-01-01,0.0126
2001-02-01,0.0101
2001-03-01,0.0125
2001-04-01,0.0118
2001-05-01,0.0133
2001-06-01,0.0127
2001-07-01,0.015
2001-08-01,0.016
2001-09-01,0.0132
2001-10-01,0.0153
2001-11-01,0.0139
2001-12-01,0.0139
2002-01-01,0.0153
2002-02-01,0.0125
2002-03-01,0.0137
2002-04-01,0.0148
2002-05-01,0.014
2002-06-01,0.0131
2002-07-01,0.0153
2002-08-01,0.0145
2002-09-01,0.0138
2002-10-01,0.0164
2002-11-01,0.0153
2002-12-01,0.0173
2003-01-01,0.0197
2003-02-01,0.0183
2003-03-01,0.0177
2003-04-01,0.0187
2003-05-01,0.0196
2003-06-01,0.0185
2003-07-01,0.0208
2003-08-01,0.0176
2003-09-01,0.0167
2003-10-01,0.0163
2003-11-01,0.0134
2003-12-01,0.0137
2004-01-01,0.0126
2004-02-01,0.0108
2004-03-01,0.0137
2004-04-01,0.0117
2004-05-01,0.0122
2004-06-01,0.0122
2004-07-01,0.0128
2004-08-01,0.0129
2004-09-01,0.0124
2004-10-01,0.0121
2004-11-01,0.0125
2004-12-01,0.0148
2005-01-01,0.0138
2005-02-01,0.0122
2005-03-01,0.0152
2005-04-01,0.0141
2005-05-01,0.015
2005-06-01,0.0158
2005-07-01,0.0151
2005-08-01,0.0165
2005-09-01,0.015
2005-10-01,0.014
2005-11-01,0.0138
2005-12-01,0.0147
2006-01-01,0.0143
2006-02-01,0.0114
2006-03-01,0.0142
2006-04-01,0.0108
2006-05-01,0.0128
2006-06-01,0.0118
2006-07-01,0.0117
2006-08-01,0.0125
2006-09-01,0.0105
2006-10-01,0.0109
2006-11-01,0.0102
2006-12-01,0.0098
2007-01-01,0.0108
2007-02-01,0.0087
2007-03-01,0.0105
2007-04-01,0.0094
2007-05-01,0.0102
2007-06-01,0.009
2007-07-01,0.0097
2007-08-01,0.0099
2007-09-01,0.008
2007-10-01,0.0092
2007-11-01,0.0084
2007-12-01,0.0084
2008-01-01,0.0092
2008-02-01,0.008
2008-03-01,0.0084
2008-04-01,0.009
2008-05-01,0.0087
2008-06-01,0.0095
2008-07-01,0.0106
2008-08-01,0.0101
2008-09-01,0.011
2008-10-01,0.0117
2008-11-01,0.01
2008-12-01,0.0111
2009-01-01,0.0104
2009-02-01,0.0085
2009-03-01,0.0097
2009-04-01,0.0084
2009-05-01,0.0077
2009-06-01,0.0075
2009-07-01,0.0078
2009-08-01,0.0069
2009-09-01,0.0069
2009-10-01,0.0069
2009-11-01,0.0066
2009-12-01,0.0072
2010-01-01,0.0066
2010-02-01,0.0059
2010-03-01,0.0076
2010-04-01,0.0066
2010-05-01,0.0075
2010-06-01,0.0079
2010-07-01,0.0086
2010-08-01,0.0089
2010-09-01,0.0084
2010-10-01,0.0081
2010-11-01,0.0081
2010-12-01,0.0093
2011-01-01,0.0086
2011-02-01,0.0084
2011-03-01,0.0092
2011-04-01,0.0084
2011-05-01,0.0099
2011-06-01,0.0095
