data,valor
1990-01-01,0.6146
1990-02-01,0.8129
1990-03-01,0.8395
1990-04-01,0.2835
1990-05-01,0.0593
1990-06-01,0.0994
1990-07-01,0.1201
1990-08-01,0.1362
1990-09-01,0.128
1990-10-01,0.1297
1990-11-01,0.1686
1990-12-01,0.18
1991-01-01,0.177
1991-02-01,0.2102
1991-03-01,0.0919
1991-04-01,0.0781
1991-05-01,0.0748
1991-06-01,0.0848
1991-07-01,0.1322
1991-08-01,0.1525
1991-09-01,0.1493
1991-10-01,0.2263
1991-11-01,0.2562
1991-12-01,0.2363
1992-01-01,0.2356
1992-02-01,0.2786
1992-03-01,0.2139
1992-04-01,0.1994
1992-05-01,0.2043
1992-06-01,0.2361
1992-07-01,0.2184
1992-08-01,0.2463
1992-09-01,0.2527
1992-10-01,0.2676
1992-11-01,0.2343
1992-12-01,0.2508
1993-01-01,0.2583
1993-02-01,0.2841
1993-03-01,0.2625
1993-04-01,0.2883
1993-05-01,0.297
1993-06-01,0.315
1993-07-01,0.3125
1993-08-01,0.3179
1993-09-01,0.3528
1993-10-01,0.3504
1993-11-01,0.3615
1993-12-01,0.3832
1994-01-01,0.3907
1994-02-01,0.4078
1994-03-01,0.4571
1994-04-01,0.4091
1994-05-01,0.4258
1994-06-01,0.4521
1994-07-01,0.4
1994-08-01,0.0756
1994-09-01,0.0175
1994-10-01,0.0182
1994-11-01,0.0285
1994-12-01,0.0084
1995-01-01,0.0092
1995-02-01,0.0139
1995-03-01,0.0112
1995-04-01,0.021
1995-05-01,0.0058
1995-06-01,0.0246
1995-07-01,0.0182
1995-08-01,0.022
1995-09-01,-0.0071
1995-10-01,0.0052
1995-11-01,0.012
1995-12-01,0.0071
1996-01-01,0.0173
1996-02-01,0.0097
1996-03-01,0.004
1996-04-01,0.0032
1996-05-01,0.0155
1996-06-01,0.0102
1996-07-01,0.0135
1996-08-01,0.0028
1996-09-01,0.001
1996-10-01,0.0019
1996-11-01,0.002
1996-12-01,0.0073
1997-01-01,0.0177
1997-02-01,0.0043
1997-03-01,0.0115
1997-04-01,0.0068
1997-05-01,0.0021
1997-06-01,0.0074
1997-07-01,0.0009
1997-08-01,0.0009
1997-09-01,0.0048
1997-10-01,0.0037
1997-11-01,0.0064
1997-12-01,0.0084
1998-01-01,0.0096
1998-02-01,0.0018
1998-03-01,0.0019
1998-04-01,0.0013
1998-05-01,0.0014
1998-06-01,0.0038
1998-07-01,-0.0017
1998-08-01,-0.0016
1998-09-01,-0.0008
1998-10-01,0.0008
1998-11-01,-0.0032
1998-12-01,0.0045
1999-01-01,0.0084
1999-02-01,0.0361
1999-03-01,0.0283
1999-04-01,0.0071
1999-05-01,-0.0029
1999-06-01,0.0036
1999-07-01,0.0155
1999-08-01,0.0156
1999-09-01,0.0145
1999-10-01,0.017
1999-11-01,0.0239
1999-12-01,0.0181
2000-01-01,0.0124
2000-02-01,0.0035
2000-03-01,0.0015
2000-04-01,0.0023
2000-05-01,0.0031
2000-06-01,0.0085
2000-07-01,0.0157
2000-08-01,0.0239
2000-09-01,0.0116
2000-10-01,0.0038
2000-11-01,0.0029
2000-12-01,0.0063
2001-01-01,0.0062
2001-02-01,0.0023
2001-03-01,0.0056
2001-04-01,0.01
2001-05-01,0.0086
2001-06-01,0.0098
2001-07-01,0.0148
2001-08-01,0.0138
2001-09-01,0.0031
2001-10-01,0.0118
2001-11-01,0.011
2001-12-01,0.0022
2002-01-01,0.0036
2002-02-01,0.0006
2002-03-01,0.0009
2002-04-01,0.0056
2002-05-01,0.0083
2002-06-01,0.0154
2002-07-01,0.0195
2002-08-01,0.0232
2002-09-01,0.024
2002-10-01,0.0387
2002-11-01,0.0519
2002-12-01,0.0375
2003-01-01,0.0233
2003-02-01,0.0228
2003-03-01,0.0153
2003-04-01,0.0092
2003-05-01,-0.0026
2003-06-01,-0.01
2003-07-01,-0.0042
2003-08-01,0.0038
2003-09-01,0.0118
2003-10-01,0.0038
2003-11-01,0.0049
2003-12-01,0.0061
2004-01-01,0.0088
2004-02-01,0.0069
2004-03-01,0.0113
2004-04-01,0.0121
2004-05-01,0.0131
2004-06-01,0.0138
2004-07-01,0.0131
2004-08-01,0.0122
2004-09-01,0.0069
2004-10-01,0.0039
2004-11-01,0.0082
2004-12-01,0.0074
2005-01-01,0.0039
2005-02-01,0.003
2005-03-01,0.0085
2005-04-01,0.0086
2005-05-01,-0.0022
2005-06-01,-0.0044
2005-07-01,-0.0034
2005-08-01,-0.0065
2005-09-01,-0.0053
2005-10-01,0.006
2005-11-01,0.004
2005-12-01,-0.0001
2006-01-01,0.0092
2006-02-01,0.0001
2006-03-01,-0.0023
2006-04-01,-0.0042
2006-05-01,0.0038
2006-06-01,0.0075
2006-07-01,0.0018
2006-08-01,0.0037
2006-09-01,0.0029
2006-10-01,0.0047
2006-11-01,0.0075
2006-12-01,0.0032
2007-01-01,0.005
2007-02-01,0.0027
2007-03-01,0.0034
2007-04-01,0.0004
2007-05-01,0.0004
2007-06-01,0.0026
2007-07-01,0.0028
2007-08-01,0.0098
2007-09-01,0.0129
2007-10-01,0.0105
2007-11-01,0.0069
2007-12-01,0.0176
2008-01-01,0.0109
2008-02-01,0.0053
2008-03-01,0.0074
2008-04-01,0.0069
2008-05-01,0.0161
2008-06-01,0.0198
2008-07-01,0.0176
2008-08-01,-0.0032
2008-09-01,0.0011
2008-10-01,0.0098
2008-11-01,0.0038
2008-12-01,-0.0013
2009-01-01,-0.0044
2009-02-01,0.0026
2009-03-01,-0.0074
2009-04-01,-0.0015
2009-05-01,-0.0007
2009-06-01,-0.001
2009-07-01,-0.0043
2009-08-01,-0.0036
2009-09-01,0.0042
2009-10-01,0.0005
2009-11-01,0.001
2009-12-01,-0.0026
2010-01-01,0.0063
2010-02-01,0.0118
2010-03-01,0.0094
2010-04-01,0.0077
2010-05-01,0.0119
2010-06-01,0.0085
2010-07-01,0.0015
2010-08-01,0.0077
2010-09-01,0.0115
2010-10-01,0.0101
2010-11-01,0.0145
2010-12-01,0.0069
2011-01-01,0.0079
2011-02-01,0.01
2011-03-01,0.0062
2011-04-01,0.0045
2011-05-01,0.0043
2011-06-01,-0.0018
2011-07-01,-0.0012
2011-08-01,0.0044
2011-09-01,0.0065
2011-10-01,0.0053
2011-11-01,0.005
2011-12-01,-0.0012
2012-01-01,0.0025
2012-02-01,-0.0006
2012-03-01,0.0043
2012-04-01,0.0085
2012-05-01,0.0102
2012-06-01,0.0066
2012-07-01,0.0134
2012-08-01,0.0143
2012-09-01,0.0097
2012-10-01,0.0002
2012-11-01,-0.0003
2012-12-01,0.0068
2013-01-01,0.0034
2013-02-01,0.0029
2013-03-01,0.0021
2013-04-01,0.0015
2013-05-01,0
2013-06-01,0.0075
2013-07-01,0.0026
2013-08-01,0.0015
2013-09-01,0.015
2013-10-01,0.0086
2013-11-01,0.0029
2013-12-01,0.006
2014-01-01,0.0048
2014-02-01,0.0038
2014-03-01,0.0167
2014-04-01,0.0078
2014-05-01,-0.0013
2014-06-01,-0.0074
2014-07-01,-0.0061
2014-08-01,-0.0027
2014-09-01,0.002
2014-10-01,0.0028
2014-11-01,0.0098
2014-12-01,0.0062
2015-01-01,0.0076
2015-02-01,0.0027
2015-03-01,0.0098
2015-04-01,0.0117
2015-05-01,0.0041
2015-06-01,0.0067
2015-07-01,0.0069
2015-08-01,0.0028
2015-09-01,0.0095
2015-10-01,0.0189
2015-11-01,0.0152
2015-12-01,0.0049
2016-01-01,0.0114
2016-02-01,0.0129
2016-03-01,0.0051
2016-04-01,0.0033
2016-05-01,0.0082
2016-06-01,0.0169
2016-07-01,0.0018
2016-08-01,0.0015
