data,valor
1990-01-01,0.6819
1990-02-01,0.7399
1990-03-01,0.8218
1990-04-01,0.1467
1990-05-01,0.0731
1990-06-01,0.1164
1990-07-01,0.1262
1990-08-01,0.1218
1990-09-01,0.1426
1990-10-01,0.1443
1990-11-01,0.1692
1990-12-01,0.1914
1991-01-01,0.2095
1991-02-01,0.202
1991-03-01,0.1179
1991-04-01,0.0501
1991-05-01,0.0668
1991-06-01,0.1083
1991-07-01,0.1214
1991-08-01,0.1562
1991-09-01,0.1562
1991-10-01,0.2108
1991-11-01,0.2648
1991-12-01,0.2415
1992-01-01,0.2592
1992-02-01,0.2448
1992-03-01,0.2162
1992-04-01,0.2084
1992-05-01,0.245
1992-06-01,0.2085
1992-07-01,0.2208
1992-08-01,0.2238
1992-09-01,0.2398
1992-10-01,0.2607
1992-11-01,0.2289
1992-12-01,0.2558
1993-01-01,0.2877
1993-02-01,0.2479
1993-03-01,0.2758
1993-04-01,0.2837
1993-05-01,0.2678
1993-06-01,0.3037
1993-07-01,0.3101
1993-08-01,0.3334
1993-09-01,0.3563
1993-10-01,0.3412
1993-11-01,0.36
1993-12-01,0.3773
1994-01-01,0.4132
1994-02-01,0.4057
1994-03-01,0.4308
1994-04-01,0.4286
1994-05-01,0.4273
1994-06-01,0.4824
1994-07-01,0.0775
1994-08-01,0.0185
1994-09-01,0.014
1994-10-01,0.0282
1994-11-01,0.0296
1994-12-01,0.017
1995-01-01,0.0144
1995-02-01,0.0101
1995-03-01,0.0162
1995-04-01,0.0249
1995-05-01,0.021
1995-06-01,0.0218
1995-07-01,0.0246
1995-08-01,0.0102
1995-09-01,0.0117
1995-10-01,0.014
1995-11-01,0.0151
1995-12-01,0.0165
1996-01-01,0.0146
1996-02-01,0.0071
1996-03-01,0.0029
1996-04-01,0.0093
1996-05-01,0.0128
1996-06-01,0.0133
1996-07-01,0.012
1996-08-01,0.005
1996-09-01,0.0002
1996-10-01,0.0038
1996-11-01,0.0034
1996-12-01,0.0033
1997-01-01,0.0081
1997-02-01,0.0045
1997-03-01,0.0068
1997-04-01,0.006
1997-05-01,0.0011
1997-06-01,0.0035
1997-07-01,0.0018
1997-08-01,-0.0003
1997-09-01,0.001
1997-10-01,0.0029
1997-11-01,0.0015
1997-12-01,0.0057
1998-01-01,0.0085
1998-02-01,0.0054
1998-03-01,0.0049
1998-04-01,0.0045
1998-05-01,0.0072
1998-06-01,0.0015
1998-07-01,-0.0028
1998-08-01,-0.0049
1998-09-01,-0.0031
1998-10-01,0.0011
1998-11-01,-0.0018
1998-12-01,0.0042
1999-01-01,0.0065
1999-02-01,0.0129
1999-03-01,0.0128
1999-04-01,0.0047
1999-05-01,0.0005
1999-06-01,0.0007
1999-07-01,0.0074
1999-08-01,0.0055
1999-09-01,0.0039
1999-10-01,0.0096
1999-11-01,0.0094
1999-12-01,0.0074
2000-01-01,0.0061
2000-02-01,0.0005
2000-03-01,0.0013
2000-04-01,0.0009
2000-05-01,-0.0005
2000-06-01,0.003
2000-07-01,0.0139
2000-08-01,0.0121
2000-09-01,0.0043
2000-10-01,0.0016
2000-11-01,0.0029
2000-12-01,0.0055
2001-01-01,0.0077
2001-02-01,0.0049
2001-03-01,0.0048
2001-04-01,0.0084
2001-05-01,0.0057
2001-06-01,0.006
2001-07-01,0.0111
2001-08-01,0.0079
2001-09-01,0.0044
2001-10-01,0.0094
2001-11-01,0.0129
2001-12-01,0.0074
2002-01-01,0.0107
2002-02-01,0.0031
2002-03-01,0.0062
2002-04-01,0.0068
2002-05-01,0.0009
2002-06-01,0.0061
2002-07-01,0.0115
2002-08-01,0.0086
2002-09-01,0.0083
2002-10-01,0.0157
2002-11-01,0.0339
2002-12-01,0.027
2003-01-01,0.0247
2003-02-01,0.0146
2003-03-01,0.0137
2003-04-01,0.0138
2003-05-01,0.0099
2003-06-01,-0.0006
2003-07-01,0.0004
2003-08-01,0.0018
2003-09-01,0.0082
2003-10-01,0.0039
2003-11-01,0.0037
2003-12-01,0.0054
2004-01-01,0.0083
2004-02-01,0.0039
2004-03-01,0.0057
2004-04-01,0.0041
2004-05-01,0.004
2004-06-01,0.005
2004-07-01,0.0073
2004-08-01,0.005
2004-09-01,0.0017
2004-10-01,0.0017
2004-11-01,0.0044
2004-12-01,0.0086
2005-01-01,0.0057
2005-02-01,0.0044
2005-03-01,0.0073
2005-04-01,0.0091
2005-05-01,0.007
2005-06-01,-0.0011
2005-07-01,0.0003
2005-08-01,0
2005-09-01,0.0015
2005-10-01,0.0058
2005-11-01,0.0054
2005-12-01,0.004
2006-01-01,0.0038
2006-02-01,0.0023
2006-03-01,0.0027
2006-04-01,0.0012
2006-05-01,0.0013
2006-06-01,-0.0007
2006-07-01,0.0011
2006-08-01,-0.0002
2006-09-01,0.0016
2006-10-01,0.0043
2006-11-01,0.0042
2006-12-01,0.0062
2007-01-01,0.0049
2007-02-01,0.0042
2007-03-01,0.0044
2007-04-01,0.0026
2007-05-01,0.0026
2007-06-01,0.0031
2007-07-01,0.0032
2007-08-01,0.0059
2007-09-01,0.0025
2007-10-01,0.003
2007-11-01,0.0043
2007-12-01,0.0097
2008-01-01,0.0069
2008-02-01,0.0048
2008-03-01,0.0051
2008-04-01,0.0064
2008-05-01,0.0096
2008-06-01,0.0091
2008-07-01,0.0058
2008-08-01,0.0021
2008-09-01,0.0015
2008-10-01,0.005
2008-11-01,0.0038
2008-12-01,0.0029
