data,valor
1995-02-01,0.0363
1995-03-01,0.026
1995-04-01,0.0426
1995-05-01,0.0425
1995-06-01,0.0404
1995-07-01,0.0402
1995-08-01,0.0384
1995-09-01,0.0332
1995-10-01,0.0309
1995-11-01,0.0288
1995-12-01,0.0278
1996-01-01,0.0258
1996-02-01,0.0235
1996-03-01,0.0222
1996-04-01,0.0207
1996-05-01,0.0201
1996-06-01,0.0198
1996-07-01,0.0193
1996-08-01,0.0197
1996-09-01,0.019
1996-10-01,0.0186
1996-11-01,0.018
1996-12-01,0.018
1997-01-01,0.0173
1997-02-01,0.0167
1997-03-01,0.0164
1997-04-01,0.0166
1997-05-01,0.0158
1997-06-01,0.0161
1997-07-01,0.016
1997-08-01,0.0159
1997-09-01,0.0159
1997-10-01,0.0167
1997-11-01,0.0304
1997-12-01,0.0297
1998-01-01,0.0267
1998-02-01,0.0213
1998-03-01,0.022
1998-04-01,0.0171
1998-05-01,0.0163
1998-06-01,0.016
1998-07-01,0.017
1998-08-01,0.0148
1998-09-01,0.0249
1998-10-01,0.0294
1998-11-01,0.0263
1998-12-01,0.024
1999-01-01,0.0218
1999-02-01,0.0238
1999-03-01,0.0333
1999-04-01,0.0235
1999-05-01,0.0202
1999-06-01,0.0167
1999-07-01,0.0166
1999-08-01,0.0157
1999-09-01,0.0149
1999-10-01,0.0138
1999-11-01,0.0139
1999-12-01,0.016
2000-01-01,0.0146
2000-02-01,0.0145
2000-03-01,0.0145
2000-04-01,0.013
2000-05-01,0.0149
2000-06-01,0.0139
2000-07-01,0.0131
2000-08-01,0.0141
2000-09-01,0.0122
2000-10-01,0.0129
2000-11-01,0.0122
2000-12-01,0.012
2001-01-01,0.0127
2001-02-01,0.0102
2001-03-01,0.0126
2001-04-01,0.0119
2001-05-01,0.0134
2001-06-01,0.0127
2001-07-01,0.015
2001-08-01,0.016
2001-09-01,0.0132
2001-10-01,0.0153
2001-11-01,0.0139
2001-12-01,0.0139
2002-01-01,0.0153
2002-02-01,0.0125
2002-03-01,0.0137
2002-04-01,0.0148
2002-05-01,0.0141
2002-06-01,0.0133
2002-07-01,0.0154
2002-08-01,0.0144
2002-09-01,0.0138
2002-10-01,0.0165
2002-11-01,0.0154
2002-12-01,0.0174
2003-01-01,0.0197
2003-02-01,0.0183
2003-03-01,0.0178
2003-04-01,0.0187
2003-05-01,0.0197
2003-06-01,0.0186
2003-07-01,0.0208
2003-08-01,0.0177
2003-09-01,0.0168
2003-10-01,0.0164
2003-11-01,0.0134
2003-12-01,0.0137
2004-01-01,0.0127
2004-02-01,0.0108
2004-03-01,0.0138
2004-04-01,0.0118
2004-05-01,0.0123
2004-06-01,0.0123
2004-07-01,0.0129
2004-08-01,0.0129
2004-09-01,0.0125
2004-10-01,0.0121
2004-11-01,0.0125
2004-12-01,0.0148
2005-01-01,0.0138
2005-02-01,0.0122
2005-03-01,0.0153
2005-04-01,0.0141
2005-05-01,0.015
2005-06-01,0.0159
2005-07-01,0.0151
2005-08-01,0.0166
2005-09-01,0.015
2005-10-01,0.0141
2005-11-01,0.0138
2005-12-01,0.0147
2006-01-01,0.01429317
2006-02-01,0.01145063
2006-03-01,0.01422302
2006-04-01,0.01077878
2006-05-01,0.0128
2006-06-01,0.01184394
2006-07-01,0.01169966
2006-08-01,0.01256265
2006-09-01,0.0105731
2006-10-01,0.01094244
2006-11-01,0.01020605
2006-12-01,0.00987886
2007-01-01,0.01082803
2007-02-01,0.00872484
2007-03-01,0.01052188
2007-04-01,0.00944823
2007-05-01,0.01028077
2007-06-01,0.00905629
2007-07-01,0.00972633
2007-08-01,0.00992635
2007-09-01,0.00804961
2007-10-01,0.00929493
2007-11-01,0.0084467
2007-12-01,0.0084467
2008-01-01,0.00929384
2008-02-01,0.00802232
2008-03-01,0.00844598
2008-04-01,0.00901426
2008-05-01,0.00876783
2008-06-01,0.00955592
2008-07-01,0.01069671
2008-08-01,0.01017657
2008-09-01,0.01103091
2008-10-01,0.01175877
2008-11-01,0.01019969
2008-12-01,0.0101124093
2009-01-01,0.01047807
2009-02-01,0.00855086
2009-03-01,0.00970884
2009-04-01,0.00839567
2009-05-01,0.00770893
2009-06-01,0.00762182
2009-07-01,0.00790143
2009-08-01,0.00693749
2009-09-01,0.00693749
2009-10-01,0.00693749
2009-11-01,0.00660604
2009-12-01,0.00726867
2010-01-01,0.00660567
2010-02-01,0.00594348
2010-03-01,0.0076007
2010-04-01,0.00665913
2010-05-01,0.00751364
2010-06-01,0.00792576
2010-07-01,0.0086103
2010-08-01,0.0088821
2010-09-01,0.00847666
2010-10-01,0.00807138
2010-11-01,0.00807138
2010-12-01,0.00928879
2011-01-01,0.0086232
2011-02-01,0.008439
2011-03-01,0.00920458
2011-04-01,0.00840155
2011-05-01,0.00987985
2011-06-01,0.00956276
2011-07-01,0.00967885
2011-08-01,0.01074063
2011-09-01,0.00941761
2011-10-01,0.00881955
2011-11-01,0.00860477
2011-12-01,0.00907328
2012-01-01,0.00891016
2012-02-01,0.00748773
2012-03-01,0.00821139
2012-04-01,0.00711876
2012-05-01,0.00744724
2012-06-01,0.00641503
2012-07-01,0.00679965
2012-08-01,0.00691811
2012-09-01,0.00538995
2012-10-01,0.00611339
2012-11-01,0.00548846
2012-12-01,0.0055015154
2013-01-01,0.0060144
2013-02-01,0.0049275
2013-03-01,0.00549404
2013-04-01,0.00613646
2013-05-01,0.00598536
2013-06-01,0.00605273
2013-07-01,0.00724092
2013-08-01,0.00710315
2013-09-01,0.00713029
2013-10-01,0.0081051
2013-11-01,0.00719208
2013-12-01,0.00789746
2014-01-01,0.00849344
2014-02-01,0.00790146
2014-03-01,0.00765957
2014-04-01,0.00822668
2014-05-01,0.00865873
2014-06-01,0.00824472
2014-07-01,0.00948727
2014-08-01,0.00865982
2014-09-01,0.00907292
2014-10-01,0.00950532
2014-11-01,0.00842493
2014-12-01,0.00961295
2015-01-01,0.00935075
2015-02-01,0.00822411
2015-03-01,0.01039967
2015-04-01,0.00951792
2015-05-01,0.00985322
2015-06-01,0.01066676
2015-07-01,0.01178198
