data,valor
1964-10-01,0.0032672
1964-11-01,0.0032672
1964-12-01,0.0032672
1965-01-01,0.0028914
1965-02-01,0.0028914
1965-03-01,0.0028914
1965-04-01,0.0024383
1965-05-01,0.0024383
1965-06-01,0.0024383
1965-07-01,0.0021496
1965-08-01,0.0021496
1965-09-01,0.0020809
1965-10-01,0.0020553
1965-11-01,0.0020365
1965-12-01,0.0020045
1966-01-01,0.0019678
1966-02-01,0.0019166
1966-03-01,0.0018893
1966-04-01,0.0018569
1966-05-01,0.0017871
1966-06-01,0.0017113
1966-07-01,0.0016441
1966-08-01,0.0015993
1966-09-01,0.0015546
1966-10-01,0.0015121
1966-11-01,0.0014726
1966-12-01,0.0014406
1967-01-01,0.0014063
1967-02-01,1.3741206
1967-03-01,1.3458238
1967-04-01,1.32616
1967-05-01,1.3065413
1967-06-01,1.2834474
1967-07-01,1.2481508
1967-08-01,1.2174581
1967-09-01,1.1991406
1967-10-01,1.1934472
1967-11-01,1.1852225
1967-12-01,1.1686899
1968-01-01,1.1473525
1968-02-01,1.127556
1968-03-01,1.1114489
1968-04-01,1.0954271
1968-05-01,1.0752411
1968-06-01,1.0473264
1968-07-01,1.0182792
1968-08-01,0.9959332
1968-09-01,0.9780481
1968-10-01,0.9644805
1968-11-01,0.9501768
1968-12-01,0.9349528
1969-01-01,0.9173666
1969-02-01,0.9009266
1969-03-01,0.8853042
1969-04-01,0.8730048
1969-05-01,0.8596843
1969-06-01,0.8491843
1969-07-01,0.8378606
1969-08-01,0.8321002
1969-09-01,0.8260008
1969-10-01,0.8185516
1969-11-01,0.8054366
1969-12-01,0.7889091
1970-01-01,0.7715842
1970-02-01,0.7546562
1970-03-01,0.7397914
1970-04-01,0.7315107
1970-05-01,0.7248584
1970-06-01,0.7181669
1970-07-01,0.7072862
1970-08-01,0.7010646
1970-09-01,0.694508
1970-10-01,0.6863391
1970-11-01,0.6736051
1970-12-01,0.6595993
1971-01-01,0.646933
1971-02-01,0.6352373
1971-03-01,0.6269497
1971-04-01,0.6207558
1971-05-01,0.6136451
1971-06-01,0.6050105
1971-07-01,0.5932567
1971-08-01,0.5816403
1971-09-01,0.5696758
1971-10-01,0.5575262
1971-11-01,0.5465227
1971-12-01,0.5377095
1972-01-01,0.5311542
1972-02-01,0.524841
1972-03-01,0.5179358
1972-04-01,0.5120927
1972-05-01,0.5053602
1972-06-01,0.4969828
1972-07-01,0.4882198
1972-08-01,0.4813168
1972-09-01,0.47731
1972-10-01,0.4739174
1972-11-01,0.4694239
1972-12-01,0.4663417
1973-01-01,0.4610782
1973-02-01,0.4565682
1973-03-01,0.4518334
1973-04-01,0.4464623
1973-05-01,0.4413967
1973-06-01,0.435861
1973-07-01,0.4310892
1973-08-01,0.4272566
1973-09-01,0.4237107
1973-10-01,0.4196305
1973-11-01,0.4167935
1973-12-01,0.413262
1974-01-01,0.405316
1974-02-01,0.4010877
1974-03-01,0.39517
1974-04-01,0.3902609
1974-05-01,0.3839788
1974-06-01,0.3759822
1974-07-01,0.363882
1974-08-01,0.3485504
1974-09-01,0.3326871
1974-10-01,0.3206723
1974-11-01,0.3138959
1974-12-01,0.3099949
1975-01-01,0.3060747
1975-02-01,0.3015007
1975-03-01,0.2965748
1975-04-01,0.2911057
1975-05-01,0.2854093
1975-06-01,0.278977
1975-07-01,0.2739722
1975-08-01,0.269364
1975-09-01,0.2652318
1975-10-01,0.2599569
1975-11-01,0.2544307
1975-12-01,0.2495726
1976-01-01,0.2450625
1976-02-01,0.2404458
1976-03-01,0.2351852
1976-04-01,0.2297294
1976-05-01,0.2240735
1976-06-01,0.2175969
1976-07-01,0.2113619
1976-08-01,0.206096
1976-09-01,0.2005069
1976-10-01,0.1941226
1976-11-01,0.187366
1976-12-01,0.1818592
1977-01-01,0.1779284
1977-02-01,0.1749005
1977-03-01,0.1715211
1977-04-01,0.1677184
1977-05-01,0.1630169
1977-06-01,0.1579348
1977-07-01,0.152837
1977-08-01,0.1488618
1977-09-01,0.1458715
1977-10-01,0.1438546
1977-11-01,0.1418871
1977-12-01,0.139799
1978-01-01,0.1371119
1978-02-01,0.1342785
1978-03-01,0.1312365
1978-04-01,0.1279388
1978-05-01,0.124307
1978-06-01,0.1206317
1978-07-01,0.1171035
1978-08-01,0.113626
1978-09-01,0.1105545
1978-10-01,0.1077408
1978-11-01,0.1052422
1978-12-01,0.1026145
1979-01-01,0.0999837
1979-02-01,0.0977758
1979-03-01,0.0955537
1979-04-01,0.0932257
1979-05-01,0.0898598
1979-06-01,0.0865508
1979-07-01,0.083764
1979-08-01,0.0815469
1979-09-01,0.0792661
1979-10-01,0.0762046
1979-11-01,0.0728625
1979-12-01,0.0697165
1980-01-01,0.0669845
1980-02-01,0.0642831
1980-03-01,0.0619891
1980-04-01,0.0597777
1980-05-01,0.0576457
1980-06-01,0.0557498
1980-07-01,0.0540209
1980-08-01,0.0523463
1980-09-01,0.0507218
1980-10-01,0.0492452
1980-11-01,0.0477178
1980-12-01,0.0462382
1981-01-01,0.0442479
1981-02-01,0.04214
1981-03-01,0.0395682
1981-04-01,0.0372235
1981-05-01,0.0351163
1981-06-01,0.0331285
1981-07-01,0.031253
1981-08-01,0.0294843
1981-09-01,0.0278681
1981-10-01,0.0263646
1981-11-01,0.0249438
1981-12-01,0.0236433
1982-01-01,0.0224743
1982-02-01,0.0214038
1982-03-01,0.0203848
1982-04-01,0.0194139
1982-05-01,0.0184016
1982-06-01,0.017442
1982-07-01,0.016534
1982-08-01,0.0155978
1982-09-01,0.0145771
1982-10-01,0.0136235
1982-11-01,0.0127324
1982-12-01,0.0119553
1983-01-01,0.0112252
1983-02-01,0.01059
1983-03-01,0.0099252
1983-04-01,0.0091057
1983-05-01,0.0083535
1983-06-01,0.007735
1983-07-01,0.0071746
1983-08-01,0.0065826
1983-09-01,0.0060663
1983-10-01,0.0055408
1983-11-01,0.0050505
1983-12-01,0.0046592
1984-01-01,0.00433
1984-02-01,0.0039436
1984-03-01,0.0035125
1984-04-01,0.0031931
1984-05-01,0.0029308
1984-06-01,0.0026924
1984-07-01,0.0024654
1984-08-01,0.0022351
1984-09-01,0.0020204
1984-10-01,0.0018288
1984-11-01,0.0016234
1984-12-01,0.0014779
1985-01-01,0.0013375
1985-02-01,0.0011881
1985-03-01,0.0010784
1985-04-01,0.0009564
1985-05-01,0.0008557
1985-06-01,0.0007775
1985-07-01,0.000712
1985-08-01,0.0006617
1985-09-01,0.000611
1985-10-01,0.0005604
1985-11-01,0.000514
1985-12-01,0.000462
1986-01-01,0.0004084
1986-02-01,0.0003509
1986-03-01,0.3071116
1986-04-01,0.3074584
1986-05-01,0.3050754
1986-06-01,0.3008625
1986-07-01,0.297088
1986-08-01,0.2935649
1986-09-01,0.28874
1986-10-01,0.2838734
1986-11-01,0.2785498
1986-12-01,0.2696985
1987-01-01,0.2514167
1987-02-01,0.215219
1987-03-01,0.179928
1987-04-01,0.157122
1987-05-01,0.1298961
1987-06-01,0.1052286
1987-07-01,0.0891606
1987-08-01,0.0865213
1987-09-01,0.0813482
1987-10-01,0.0769736
1987-11-01,0.0705035
1987-12-01,0.0624812
1988-01-01,0.05474
1988-02-01,0.0469824
1988-03-01,0.0398292
1988-04-01,0.0343326
1988-05-01,0.0287821
1988-06-01,0.0244384
1988-07-01,0.0204455
1988-08-01,0.0164824
1988-09-01,0.0136607
1988-10-01,0.0110153
1988-11-01,0.0086571
1988-12-01,0.0068207
1989-01-01,5.2958929
1989-02-01,5.2958929
1989-03-01,5.1118663
1989-04-01,4.8183912
1989-05-01,4.4903284
1989-06-01,4.0844471
1989-07-01,3.2718976
1989-08-01,2.5409717
1989-09-01,1.9646433
1989-10-01,1.4451095
1989-11-01,1.0500646
1989-12-01,0.7425115
1990-01-01,0.4835637
1990-02-01,0.3097597
1990-03-01,0.1792792
1990-04-01,0.1268965
1990-05-01,0.1268965
1990-06-01,0.1204187
1990-07-01,0.10986
1990-08-01,0.0991612
1990-09-01,0.0896734
1990-10-01,0.0794624
1990-11-01,0.0698813
1990-12-01,0.0599125
1991-01-01,0.0501828
1991-02-01,0.0417454
1991-03-01,0.0390143
1991-04-01,0.0359583
1991-05-01,0.03301
1991-06-01,0.0302872
1991-07-01,0.0276852
1991-08-01,0.0251567
1991-09-01,0.0224719
1991-10-01,0.0192422
1991-11-01,0.0160666
1991-12-01,0.0123097
1992-01-01,0.0095855
1992-02-01,0.007639
1992-03-01,0.0060814
1992-04-01,0.0048933
1992-05-01,0.0040422
1992-06-01,0.0033738
1992-07-01,0.0027871
1992-08-01,0.0022536
1992-09-01,0.0018285
1992-10-01,0.0014585
1992-11-01,0.0011658
1992-12-01,0.0009458
1993-01-01,0.0007628
1993-02-01,0.0006017
1993-03-01,0.0004756
1993-04-01,0.0003791
1993-05-01,0.0002947
1993-06-01,0.0002295
1993-07-01,0.0001765
1993-08-01,0.1352807
1993-09-01,0.1014546
1993-10-01,0.0753644
1993-11-01,0.0551996
1993-12-01,0.0405405
1994-01-01,0.0296348
1994-02-01,0.0209521
1994-03-01,0.0149802
1994-04-01,0.0105608
1994-05-01,0.0072346
1994-06-01,0.0049405
1994-07-01,9.2505397
1994-08-01,8.7203435
1994-09-01,8.2688631
1994-10-01,8.14586
1994-11-01,7.997114
1994-12-01,7.7438886
