data,valor
1990-01-01,102.5272396
1990-02-01,160.0552737
1990-03-01,276.5435019
1990-04-01,509.7249827
1990-05-01,738.0817749
1990-06-01,796.1688106
1990-07-01,872.202932
1990-08-01,984.8915508
1990-09-01,1103.3740044
1990-10-01,1244.1645274
1990-11-01,1420.8358903
1990-12-01,1642.202122
1991-01-01,1942.7251103
1991-02-01,2329.5216798
1991-03-01,2838.9880712
1991-04-01,3173.7047648
1991-05-01,3332.7073735
1991-06-01,3555.332226
1991-07-01,3940.3747061
1991-08-01,4418.7361954
1991-09-01,5108.9427891
1991-10-01,5906.9596528
1991-11-01,7152.1467476
1991-12-01,9046.0352064
1992-01-01,11230.6527087
1992-02-01,14141.6378908
1992-03-01,17603.5108465
1992-04-01,21409.3898915
1992-05-01,25871.1067449
1992-06-01,32209.5278974
1992-07-01,38925.214464
1992-08-01,47519.9018177
1992-09-01,58154.8558445
1992-10-01,72100.390276
1992-11-01,90896.962021
1992-12-01,111703.2766276
1993-01-01,140276.9747889
1993-02-01,180634.6604357
1993-03-01,225413.9927577
1993-04-01,287583.1719603
1993-05-01,369170.5178454
1993-06-01,468034.3825244
1993-07-01,610176.4244970999
1993-08-01,799.3921337
1993-09-01,1065.9094711
1993-10-01,1445.6930157
1993-11-01,1938.9634727
1993-12-01,2636.9903229
1994-01-01,3631.9267717
1994-02-01,5132.6389138
1994-03-01,7214.9505211
1994-04-01,10323.1512056
1994-05-01,14747.6538123
1994-06-01,21049.3262863
1994-07-01,11.346735
1994-08-01,12.0366165
1994-09-01,12.6938158
1994-10-01,12.8854924
1994-11-01,13.1251626
1994-12-01,13.5543554
1995-01-01,13.8511958
1995-02-01,14.0825108
1995-03-01,14.2219277
1995-04-01,14.4224569
1995-05-01,14.6993681
1995-06-01,15.0771419
1995-07-01,15.3515459
1995-08-01,15.7291939
1995-09-01,15.8896317
1995-10-01,16.0755404
1995-11-01,16.300598
1995-12-01,16.546737
1996-01-01,16.8197582
1996-02-01,17.0653267
1996-03-01,17.1864905
1996-04-01,17.2363313
1996-05-01,17.3966292
1996-06-01,17.6193061
1996-07-01,17.8536429
1996-08-01,18.0678866
1996-09-01,18.158226
1996-10-01,18.1618576
1996-11-01,18.2308727
1996-12-01,18.2928577
1997-01-01,18.3532241
1997-02-01,18.5018852
1997-03-01,18.5851437
1997-04-01,18.7115227
1997-05-01,18.8237918
1997-06-01,18.844498
1997-07-01,18.9104537
1997-08-01,18.9444925
1997-09-01,18.9388092
1997-10-01,18.957748
1997-11-01,19.0127255
1997-12-01,19.0412446
1998-01-01,19.1497797
1998-02-01,19.3125528
1998-03-01,19.4168406
1998-04-01,19.5119831
1998-05-01,19.599787
1998-06-01,19.7409055
1998-07-01,19.7705169
1998-08-01,19.7151595
1998-09-01,19.6185552
1998-10-01,19.5577377
1998-11-01,19.5792512
1998-12-01,19.5440085
1999-01-01,19.6260933
1999-02-01,19.7536629
1999-03-01,20.0084852
1999-04-01,20.2645938
1999-05-01,20.3598374
1999-06-01,20.3700173
1999-07-01,20.3842763
1999-08-01,20.5351199
1999-09-01,20.6480631
1999-10-01,20.7285905
1999-11-01,20.927585
1999-12-01,21.1243043
2000-01-01,21.2806242
2000-02-01,21.410436
2000-03-01,21.4211412
2000-04-01,21.4489887
2000-05-01,21.4682928
2000-06-01,21.4575587
2000-07-01,21.5219314
2000-08-01,21.8210862
2000-09-01,22.0851213
2000-10-01,22.1800873
2000-11-01,22.2155754
2000-12-01,22.2800006
2001-01-01,22.4025406
2001-02-01,22.5750402
2001-03-01,22.6856579
2001-04-01,22.7945491
2001-05-01,22.9860233
2001-06-01,23.1170436
2001-07-01,23.2557459
2001-08-01,23.5138847
2001-09-01,23.6996444
2001-10-01,23.8039228
2001-11-01,24.0276797
2001-12-01,24.3376368
2002-01-01,24.5177353
2002-02-01,24.7800751
2002-03-01,24.8568933
2002-04-01,25.011006
2002-05-01,25.1810808
2002-06-01,25.2037438
2002-07-01,25.3574866
2002-08-01,25.6490977
2002-09-01,25.8696799
2002-10-01,26.0843982
2002-11-01,26.4939233
2002-12-01,27.3920673
2003-01-01,28.1316531
2003-02-01,28.8265049
2003-03-01,29.2473719
2003-04-01,29.6480609
2003-05-01,30.0572041
2003-06-01,30.3547704
2003-07-01,30.3365575
2003-08-01,30.3486921
2003-09-01,30.4033197
2003-10-01,30.6526269
2003-11-01,30.7721721
2003-12-01,30.8860291
2004-01-01,31.0528137
2004-02-01,31.3105521
2004-03-01,31.4326633
2004-04-01,31.6118295
2004-05-01,31.741438
2004-06-01,31.8684038
2004-07-01,32.0277458
2004-08-01,32.2615483
2004-09-01,32.422856
2004-10-01,32.4779749
2004-11-01,32.5331875
2004-12-01,32.6763335
2005-01-01,32.95735
2005-02-01,33.1452069
2005-03-01,33.2910458
2005-04-01,33.5340704
2005-05-01,33.8392304
2005-06-01,34.076105
2005-07-01,34.0386213
2005-08-01,34.0488329
2005-09-01,34.0488329
2005-10-01,34.0999061
2005-11-01,34.2976856
2005-12-01,34.4828931
2006-01-01,34.6208247
2006-02-01,34.7523838
2006-03-01,34.8323143
2006-04-01,34.9263615
2006-05-01,34.9682731
2006-06-01,35.0137319
2006-07-01,34.9892223
2006-08-01,35.0277104
2006-09-01,35.0207049
2006-10-01,35.076738
2006-11-01,35.227568
2006-12-01,35.3755238
2007-01-01,35.594852
2007-02-01,35.7692668
2007-03-01,35.9194977
2007-04-01,36.0775435
2007-05-01,36.1713451
2007-06-01,36.2653906
2007-07-01,36.3778133
2007-08-01,36.4942223
2007-09-01,36.7095382
2007-10-01,36.801312
2007-11-01,36.9117159
2007-12-01,37.0704363
2008-01-01,37.4300195
2008-02-01,37.6882866
2008-03-01,37.8691904
2008-04-01,38.0623233
2008-05-01,38.3059222
2008-06-01,38.6736591
2008-07-01,39.0255894
2008-08-01,39.2519378
2008-09-01,39.3343669
2008-10-01,39.3933685
2008-11-01,39.5903353
2008-12-01,39.7407786
2009-01-01,39.8560269
2009-02-01,40.1111055
2009-03-01,40.2354499
2009-04-01,40.3159208
2009-05-01,40.5376584
2009-06-01,40.7808844
2009-07-01,40.9521641
2009-08-01,41.0463541
2009-09-01,41.0791912
2009-10-01,41.1449179
2009-11-01,41.2436657
2009-12-01,41.3962673
2010-01-01,41.4956183
2010-02-01,41.8607797
2010-03-01,42.1538052
2010-04-01,42.4530972
2010-05-01,42.7630048
2010-06-01,42.9468857
2010-07-01,42.8996441
2010-08-01,42.8696143
2010-09-01,42.8396056
2010-10-01,43.0709395
2010-11-01,43.4671921
2010-12-01,43.9149042
2011-01-01,44.1783936
2011-02-01,44.5936705
2011-03-01,44.8344763
2011-04-01,45.1303838
2011-05-01,45.45532256
2011-06-01,45.7144179
2011-07-01,45.81498962
2011-08-01,45.81498962
2011-09-01,46.00741258
2011-10-01,46.21444593
2011-11-01,46.36233216
2011-12-01,46.62659745
2012-01-01,46.8643931
2012-02-01,47.1034015
2012-03-01,47.28710477
2012-04-01,47.37222156
2012-05-01,47.67540378
2012-06-01,47.9376185
2012-07-01,48.06225631
2012-08-01,48.26892401
2012-09-01,48.48613417
2012-10-01,48.79159681
2012-11-01,49.13801715
2012-12-01,49.40336244
2013-01-01,49.76894732
2013-02-01,50.22682164
2013-03-01,50.48800111
2013-04-01,50.79092912
2013-05-01,51.0905956
2013-06-01,51.26941268
2013-07-01,51.41296704
2013-08-01,51.34613018
2013-09-01,51.42828399
2013-10-01,51.56714036
2013-11-01,51.88169991
2013-12-01,52.16186109
2014-01-01,52.53742649
2014-02-01,52.86841228
2014-03-01,53.20677012
2014-04-01,53.64306563
2014-05-01,54.06148155
2014-06-01,54.38585044
2014-07-01,54.52725365
2014-08-01,54.59813908
2014-09-01,54.69641573
2014-10-01,54.96442816
2014-11-01,55.17329299
2014-12-01,55.46571144
2015-01-01,55.80959885
2015-02-01,56.63558092
2015-03-01,57.29255366
2015-04-01,58.15767122
2015-05-01,58.57059068
2015-06-01,59.15043953
2015-07-01,59.60589791
2015-08-01,59.95161212
2015-09-01,60.10149115
2015-10-01,60.40800876
2015-11-01,60.87315042
2015-12-01,61.54884239
2016-01-01,62.10278198
2016-02-01,63.04053398
2016-03-01,63.63941906
2016-04-01,63.9194325
2016-05-01,64.32851687
2016-06-01,64.95893633
2016-07-01,65.26424333
2016-08-01,65.68193449
2016-09-01,65.88554849
2016-10-01,65.93825693
2016-11-01,66.05035196
2016-12-01,66.09658721
2017-01-01,66.18912243
2017-02-01,66.46711675
2017-03-01,66.62663783
2017-04-01,66.83984307
2017-05-01,66.89331494
2017-06-01,67.13413088
