data,valor
1990-01-01,67.5741
1990-02-01,105.4896
1990-03-01,182.2652
1990-04-01,257.5045
1990-05-01,257.5045
1990-06-01,271.3583
1990-07-01,297.4358
1990-08-01,329.5291
1990-09-01,364.3935
1990-10-01,411.2178
1990-11-01,467.5955
1990-12-01,545.4036
1991-01-01,651.1573
1991-02-01,782.7559
1991-03-01,837.5493
1991-04-01,908.7407
1991-05-01,989.891
1991-06-01,1078.883
1991-07-01,1180.2981
1991-08-01,1298.9185
1991-09-01,1454.1378
1991-10-01,1698.1426
1991-11-01,2033.8637
1991-12-01,2654.605
1992-01-01,3409.0291
1992-02-01,4277.6566
1992-03-01,5373.1694
1992-04-01,6677.2654
1992-05-01,8084.7824
1992-06-01,9686.4337
1992-07-01,11725.3651
1992-08-01,14503.2929
1992-09-01,17870.78
1992-10-01,22406.5586
1992-11-01,28024.1517
1992-12-01,34550.3032
1993-01-01,42825.257
1993-02-01,54285.793
1993-03-01,68618.733
1993-04-01,86326.7934
1993-05-01,110694.9135
1993-06-01,142417.1036
1993-07-01,185658.988
1993-08-01,242.5616
1993-09-01,320.1655
1993-10-01,430.2507
1993-11-01,581.5468
1993-12-01,778.7029
1994-01-01,1064.402
1994-02-01,1481.3334
1994-03-01,2069.4008
1994-04-01,2972.2975
1994-05-01,4198.3802
1994-06-01,6054.4665
1994-07-01,3.1846
1994-08-01,3.3507
1994-09-01,3.5185
1994-10-01,3.5758
1994-11-01,3.6438
1994-12-01,3.7515
1995-01-01,3.836
1995-02-01,3.836
1995-03-01,3.836
1995-04-01,4.0027
1995-05-01,4.0027
1995-06-01,4.0027
1995-07-01,4.2878
1995-08-01,4.2878
1995-09-01,4.2878
1995-10-01,4.5077
1995-11-01,4.5077
1995-12-01,4.5077
1996-01-01,4.6976
1996-02-01,4.6976
1996-03-01,4.6976
1996-04-01,4.6976
1996-05-01,4.6976
1996-06-01,4.6976
1996-07-01,5.015
1996-08-01,5.015
1996-09-01,5.015
1996-10-01,5.015
1996-11-01,5.015
1996-12-01,5.015
1997-01-01,5.163
1997-02-01,5.163
1997-03-01,5.163
1997-04-01,5.163
1997-05-01,5.163
1997-06-01,5.163
1997-07-01,5.163
1997-08-01,5.163
1997-09-01,5.163
1997-10-01,5.163
1997-11-01,5.163
1997-12-01,5.163
1998-01-01,5.4481
1998-02-01,5.4481
1998-03-01,5.4481
1998-04-01,5.4481
1998-05-01,5.4481
1998-06-01,5.4481
1998-07-01,5.4481
1998-08-01,5.4481
1998-09-01,5.4481
1998-10-01,5.4481
1998-11-01,5.4481
1998-12-01,5.4481
1999-01-01,5.5382
1999-02-01,5.5382
1999-03-01,5.5382
1999-04-01,5.5382
1999-05-01,5.5382
1999-06-01,5.5382
1999-07-01,5.5382
1999-08-01,5.5382
1999-09-01,5.5382
1999-10-01,5.5382
1999-11-01,5.5382
1999-12-01,5.5382
2000-01-01,6.0319
2000-02-01,6.0319
2000-03-01,6.0319
2000-04-01,6.0319
2000-05-01,6.0319
2000-06-01,6.0319
2000-07-01,6.0319
2000-08-01,6.0319
2000-09-01,6.0319
2000-10-01,6.0319
2000-11-01,6.0319
2000-12-01,6.0319
2001-01-01,6.3958
2001-02-01,6.3958
2001-03-01,6.3958
2001-04-01,6.3958
2001-05-01,6.3958
2001-06-01,6.3958
2001-07-01,6.3958
2001-08-01,6.3958
2001-09-01,6.3958
2001-10-01,6.3958
2001-11-01,6.3958
2001-12-01,6.3958
2002-01-01,6.87592433
2002-02-01,6.87592433
2002-03-01,6.87592433
2002-04-01,6.87592433
2002-05-01,6.87592433
2002-06-01,6.87592433
2002-07-01,6.87592433
2002-08-01,6.87592433
2002-09-01,6.87592433
2002-10-01,6.87592433
2002-11-01,6.87592433
2002-12-01,6.87592433
2003-01-01,7.70012828
2003-02-01,7.70012828
2003-03-01,7.70012828
2003-04-01,7.70012828
2003-05-01,7.70012828
2003-06-01,7.70012828
2003-07-01,7.70012828
2003-08-01,7.70012828
2003-09-01,7.70012828
2003-10-01,7.70012828
2003-11-01,7.70012828
2003-12-01,7.70012828
2004-01-01,8.45971102
2004-02-01,8.45971102
2004-03-01,8.45971102
2004-04-01,8.45971102
2004-05-01,8.45971102
2004-06-01,8.45971102
2004-07-01,8.45971102
2004-08-01,8.45971102
2004-09-01,8.45971102
2004-10-01,8.45971102
2004-11-01,8.45971102
2004-12-01,8.45971102
2005-01-01,9.09742045
2005-02-01,9.09742045
2005-03-01,9.09742045
2005-04-01,9.09742045
2005-05-01,9.09742045
2005-06-01,9.09742045
2005-07-01,9.09742045
2005-08-01,9.09742045
2005-09-01,9.09742045
2005-10-01,9.09742045
2005-11-01,9.09742045
