data,valor
1964-10-01,10000
1964-11-01,10000
1964-12-01,10000
1965-01-01,11300
1965-02-01,11300
1965-03-01,11300
1965-04-01,13400
1965-05-01,13400
1965-06-01,13400
1965-07-01,15200
1965-08-01,15200
1965-09-01,15700
1965-10-01,15900
1965-11-01,16050
1965-12-01,16300
1966-01-01,16600
1966-02-01,17050
1966-03-01,17300
1966-04-01,17600
1966-05-01,18280
1966-06-01,19090
1966-07-01,19870
1966-08-01,20430
1966-09-01,21010
1966-10-01,21610
1966-11-01,22180
1966-12-01,22690
1967-01-01,23230
1967-02-01,23.78
1967-03-01,24.28
1967-04-01,24.64
1967-05-01,25.01
1967-06-01,25.46
1967-07-01,26.18
1967-08-01,26.84
1967-09-01,27.25
1967-10-01,27.38
1967-11-01,27.57
1967-12-01,27.96
1968-01-01,28.48
1968-02-01,28.98
1968-03-01,29.4
1968-04-01,29.83
1968-05-01,30.39
1968-06-01,31.2
1968-07-01,32.09
1968-08-01,32.81
1968-09-01,33.41
1968-10-01,33.88
1968-11-01,34.39
1968-12-01,34.95
1969-01-01,35.62
1969-02-01,36.27
1969-03-01,36.91
1969-04-01,37.43
1969-05-01,38.01
1969-06-01,38.48
1969-07-01,39
1969-08-01,39.27
1969-09-01,39.56
1969-10-01,39.92
1969-11-01,40.57
1969-12-01,41.42
1970-01-01,42.35
1970-02-01,43.3
1970-03-01,44.17
1970-04-01,44.67
1970-05-01,45.08
1970-06-01,45.5
1970-07-01,46.2
1970-08-01,46.61
1970-09-01,47.05
1970-10-01,47.61
1970-11-01,48.51
1970-12-01,49.54
1971-01-01,50.51
1971-02-01,51.44
1971-03-01,52.12
1971-04-01,52.64
1971-05-01,53.25
1971-06-01,54.01
1971-07-01,55.08
1971-08-01,56.18
1971-09-01,57.36
1971-10-01,58.61
1971-11-01,59.79
1971-12-01,60.77
1972-01-01,61.52
1972-02-01,62.26
1972-03-01,63.09
1972-04-01,63.81
1972-05-01,64.66
1972-06-01,65.75
1972-07-01,66.93
1972-08-01,67.89
1972-09-01,68.46
1972-10-01,68.95
1972-11-01,69.61
1972-12-01,70.07
1973-01-01,70.87
1973-02-01,71.57
1973-03-01,72.32
1973-04-01,73.19
1973-05-01,74.03
1973-06-01,74.97
1973-07-01,75.8
1973-08-01,76.48
1973-09-01,77.12
1973-10-01,77.87
1973-11-01,78.4
1973-12-01,79.07
1974-01-01,80.62
1974-02-01,81.47
1974-03-01,82.69
1974-04-01,83.73
1974-05-01,85.1
1974-06-01,86.91
1974-07-01,89.8
1974-08-01,93.75
1974-09-01,98.22
1974-10-01,101.9
1974-11-01,104.1
1974-12-01,105.41
1975-01-01,106.76
1975-02-01,108.38
1975-03-01,110.18
1975-04-01,112.25
1975-05-01,114.49
1975-06-01,117.13
1975-07-01,119.27
1975-08-01,121.31
1975-09-01,123.2
1975-10-01,125.7
1975-11-01,128.43
1975-12-01,130.93
1976-01-01,133.34
1976-02-01,135.9
1976-03-01,138.94
1976-04-01,142.24
1976-05-01,145.83
1976-06-01,150.17
1976-07-01,154.6
1976-08-01,158.55
1976-09-01,162.97
1976-10-01,168.33
1976-11-01,174.4
1976-12-01,179.68
1977-01-01,183.65
1977-02-01,186.83
1977-03-01,190.51
1977-04-01,194.83
1977-05-01,200.45
1977-06-01,206.9
1977-07-01,213.8
1977-08-01,219.51
1977-09-01,224.01
1977-10-01,227.15
1977-11-01,230.3
1977-12-01,233.74
1978-01-01,238.32
1978-02-01,243.35
1978-03-01,248.99
1978-04-01,255.41
1978-05-01,262.87
1978-06-01,270.88
1978-07-01,279.04
1978-08-01,287.58
1978-09-01,295.57
1978-10-01,303.29
1978-11-01,310.49
1978-12-01,318.44
1979-01-01,326.82
1979-02-01,334.2
1979-03-01,341.97
1979-04-01,350.51
1979-05-01,363.64
1979-06-01,377.54
1979-07-01,390.1
1979-08-01,400.71
1979-09-01,412.24
1979-10-01,428.8
1979-11-01,448.47
1979-12-01,468.71
1980-01-01,487.83
1980-02-01,508.33
1980-03-01,527.14
1980-04-01,546.64
1980-05-01,566.86
1980-06-01,586.13
1980-07-01,604.89
1980-08-01,624.25
1980-09-01,644.23
1980-10-01,663.56
1980-11-01,684.79
1980-12-01,706.7
1981-01-01,738.5
1981-02-01,775.43
1981-03-01,825.83
1981-04-01,877.86
1981-05-01,930.53
1981-06-01,986.36
1981-07-01,1045.54
1981-08-01,1108.27
1981-09-01,1172.55
1981-10-01,1239.39
1981-11-01,1310.04
1981-12-01,1382.09
1982-01-01,1453.96
1982-02-01,1526.66
1982-03-01,1602.99
1982-04-01,1683.14
1982-05-01,1775.71
1982-06-01,1873.37
1982-07-01,1976.41
1982-08-01,2094.99
1982-09-01,2241.64
1982-10-01,2398.55
1982-11-01,2566.45
1982-12-01,2733.27
1983-01-01,2910.93
1983-02-01,3085.59
1983-03-01,3292.32
1983-04-01,3588.63
1983-05-01,3911.61
1983-06-01,4224.54
1983-07-01,4554.05
1983-08-01,4963.91
1983-09-01,5385.84
1983-10-01,5897.49
1983-11-01,6469.55
1983-12-01,7012.99
1984-01-01,7545.98
1984-02-01,8285.49
1984-03-01,9304.61
1984-04-01,10235.07
1984-05-01,11145.99
1984-06-01,12137.98
1984-07-01,13254.67
